Confirmed	State	County Name	Special Id	Production	1-Apr-22	1-Aug-22	1-Dec-22	1-Feb-23	1-Jul-22	1-Jun-22	1-Mar-23	1-May-22	2-Dec-22	2-Jul-22	2-Jun-22	2-Mar-23	2-Sep-22	3-Apr-23	3-Dec-22	3-Feb-23	3-Jan-23	3-Jun-22	3-Mar-23	3-May-22	3-Nov-22	4-Apr-22	4-Apr-23	4-Jan-23	4-Jun-22	4-Mar-23	4-May-22	4-May-23	4-Nov-22	5-Apr-22	5-Dec-22	5-Jan-23	5-Mar-23	5-May-22	5-Nov-22	5-Oct-22	6-Apr-23	6-Dec-22	6-Jul-22	6-Jun-22	6-May-22	6-Oct-22	6-Sep-22	7-Apr-22	7-Apr-23	7-Dec-22	7-Jun-22	7-May-22	7-Oct-22	8-Apr-23	8-Jun-22	8-Mar-23	8-May-22	8-Nov-22	8-Oct-22	9-Apr-23	9-Dec-22	9-Jun-22	9-Mar-23	9-May-22	10-Apr-23	10-Dec-22	10-Jun-22	10-May-22	10-Nov-22	11-Apr-22	11-Apr-23	11-Aug-22	11-Jun-22	11-May-22	11-Nov-22	11-Oct-22	12-Apr-22	12-Apr-23	12-Dec-22	12-Feb-23	12-Mar-22	12-May-22	12-Oct-22	13-Apr-22	13-Apr-23	13-Dec-22	13-Feb-23	13-Jan-23	13-Jul-22	13-May-22	13-Nov-22	13-Oct-22	14-Apr-22	14-Apr-23	14-Dec-22	14-Jan-23	14-Jul-22	14-Oct-22	15-Apr-22	15-Aug-22	15-Jan-23	15-Mar-22	15-May-22	15-Nov-22	15-Oct-22	15-Sep-22	16-Apr-23	16-Dec-22	16-Feb-23	16-Jun-22	16-May-22	16-Nov-22	17-Jan-23	17-Jun-22	17-Mar-23	17-May-22	17-Nov-22	17-Oct-22	18-Apr-23	18-Feb-23	18-Jan-23	18-Jul-22	18-Jun-22	18-May-22	18-Oct-22	19-Apr-22	19-Apr-23	19-Dec-22	19-Jan-23	19-May-22	19-Nov-22	19-Sep-22	20-Apr-22	20-Dec-22	20-Jan-23	20-May-22	20-Oct-22	21-Apr-22	21-Mar-23	21-May-22	21-Nov-22	21-Oct-22	22-Apr-22	22-Dec-22	22-Mar-23	22-May-22	22-Nov-22	22-Oct-22	22-Sep-22	23-Apr-22	23-Dec-22	23-Feb-23	23-Jan-23	23-Mar-22	23-May-22	24-Apr-22	24-Aug-22	24-Dec-22	24-Jan-23	24-May-22	24-Nov-22	24-Sep-22	25-Apr-22	25-Dec-22	25-Jun-22	25-May-22	25-Nov-22	25-Oct-22	26-Apr-22	26-Dec-22	26-Jan-23	26-Mar-23	26-May-22	26-Oct-22	27-Apr-22	27-Apr-23	27-Dec-22	27-Mar-22	27-May-22	27-Nov-22	27-Oct-22	28-Apr-22	28-Apr-23	28-Dec-22	28-Jan-23	28-May-22	28-Oct-22	28-Sep-22	29-Apr-22	29-Dec-22	29-Nov-22	29-Oct-22	29-Sep-22	30-Apr-22	30-Dec-22	30-Jun-22	30-Oct-22	30-Sep-22	31-Jan-23	31-Mar-23	31-May-22	31-Oct-22	Active	NA
5-May-23	Indiana	Posey	Posey 01	WOAH Non-Poultry																																																																																																																																																																																																								30
24-Apr-23	Colorado	Routt	Routt 01	WOAH Non-Poultry																																																																																																																																																																																																								20
19-Apr-23	North Dakota	Dickey	Dickey 03	Commercial Turkey Meat Bird																																																																																																																																																																																																							"58,500"	
19-Apr-23	South Dakota	Beadle	Beadle 09	Commercial Turkey Meat Bird																																																																																																																																																																																																							"75,800"	
18-Apr-23	New York	Kings	Kings 02	Live Bird Market																																																																																																																																																																																																							"1,400"	
17-Apr-23	Colorado	Moffat	Moffat 02	WOAH Non-Poultry																																																																																																																																																																																																								80
17-Apr-23	Idaho	Bonneville	Bonneville 01	WOAH Non-Poultry																																																																																																																																																																																																								40
17-Apr-23	New York	Putnam	Putnam 02	WOAH Poultry																												110																																																																																																																																																																												
14-Apr-23	Montana	Rosebud	Rosebud 01	WOAH Non-Poultry																																																																																																																																																																																																								0
14-Apr-23	Nebraska	Sheridan	Sheridan 01	WOAH Non-Poultry																																																																																																																																																																																																								10
12-Apr-23	California	Modoc	Modoc 01	WOAH Non-Poultry																																																																																																																																																																																																								60
12-Apr-23	Colorado	Pueblo	Pueblo 01	WOAH Non-Poultry																																																																																																																																																																																																								30
12-Apr-23	New York	Putnam	Putnam 01	WOAH Poultry																																																																																																																																																																																			200																					
10-Apr-23	Kansas	Mitchell	Mitchell 04	WOAH Non-Poultry																																																																																																																																																																																																								30
5-Apr-23	New York	Queens	Queens 03	Live Bird Market																																																																																																																																																																																																							"1,300"	
3-Apr-23	Minnesota	Le Sueur	Le Sueur 04	WOAH Non-Poultry																																																																																																																																																																																																								100
30-Mar-23	Oregon	Umatilla	Umatilla 02	WOAH Non-Poultry																																																																																																																																																																																																								50
28-Mar-23	Colorado	Yuma	Yuma 01	WOAH Poultry																																																																			310																																																																																																																																					
24-Mar-23	Colorado	Arapahoe	Arapahoe 01	WOAH Non-Poultry																																																																																																																																																																																																								10
24-Mar-23	Kansas	Ellsworth	Ellsworth 01	WOAH Non-Poultry																																																																																																																																																																																																								50
23-Mar-23	Michigan	Lapeer	Lapeer 05	WOAH Poultry																																																																																																																																																																												950																												
22-Mar-23	New York	Queens	Queens 02	Live Bird Market																																																																																																																																																																																																							140	
22-Mar-23	New York	Tompkins	Tompkins 01	WOAH Poultry																																													"6,500"																																																																																																																																																											
22-Mar-23	Oregon	Klamath	Klamath 01	WOAH Non-Poultry																																																																																																																																																																																																								30
22-Mar-23	South Dakota	Spink	Spink 08	Commercial Upland Gamebird Producer																																					570																																																																																																																																																																			
22-Mar-23	Texas	Hale	Hale 01	WOAH Non-Poultry																																																																																																																																																																																																								20
21-Mar-23	Florida	Hillsborough	Hillsborough 04	Live Bird Market																																																													340																																																																																																																																											
21-Mar-23	New York	Washington	Washington 01	WOAH Non-Poultry																																																																																																																																																																																																								50
17-Mar-23	Pennsylvania	Lancaster	Lancaster 32	WOAH Poultry																																																																																																																											"2,500"																																																																													
16-Mar-23	Mississippi	Monroe	Monroe 01	WOAH Non-Poultry																																																																																																																																																																																																								30
