State,County,Date Detected,HPAI Strain,Bird Species,WOAH Classification,Sampling Method,Submitting Agency
South Carolina,Colleton,1/13/2022,EA H5N1,American wigeon,Wild bird,Hunter harvest,NWDP
South Carolina,Colleton,1/13/2022,EA H5N1,Blue-winged teal,Wild bird,Hunter harvest,NWDP
North Carolina,Hyde,1/12/2022,EA H5N1,Northern shoveler,Wild bird,Hunter harvest,NWDP
North Carolina,Hyde,1/20/2022,EA H5N1,American wigeon,Wild bird,Hunter harvest,NWDP
North Carolina,Hyde,1/20/2022,EA H5,Gadwall,Wild bird,Hunter harvest,NWDP
North Carolina,Hyde,1/20/2022,EA H5,Gadwall,Wild bird,Hunter harvest,NWDP
North Carolina,Pamlico,1/20/2022,EA H5N1,American wigeon,Wild bird,Hunter harvest,NWDP
North Carolina,Pamlico,1/20/2022,EA H5,American wigeon,Wild bird,Hunter harvest,NWDP
North Carolina,Pamlico,1/20/2022,EA H5,Mallard,Wild bird,Hunter harvest,NWDP
North Carolina,Pamlico,1/20/2022,EA H5N1,Gadwall,Wild bird,Hunter harvest,NWDP
North Carolina,Pamlico,1/20/2022,EA H5N1,Northern pintail,Wild bird,Hunter harvest,NWDP
North Carolina,Pamlico,1/20/2022,EA H5,Northern pintail,Wild bird,Hunter harvest,NWDP
North Carolina,Pamlico,1/20/2022,EA H5,American wigeon,Wild bird,Hunter harvest,NWDP
North Carolina,Pamlico,1/20/2022,EA H5,Northern pintail,Wild bird,Hunter harvest,NWDP
North Carolina,Pamlico,1/20/2022,EA H5N1,American wigeon,Wild bird,Hunter harvest,NWDP
North Carolina,Pamlico,1/20/2022,EA H5N1,Gadwall,Wild bird,Hunter harvest,NWDP
North Carolina,Pamlico,1/20/2022,EA H5N1,American wigeon,Wild bird,Hunter harvest,NWDP
North Carolina,Pamlico,1/20/2022,EA H5N1,American wigeon,Wild bird,Hunter harvest,NWDP
North Carolina,Pamlico,1/20/2022,EA H5N1,Mallard,Wild bird,Hunter harvest,NWDP
North Carolina,Pamlico,1/20/2022,EA H5,American wigeon,Wild bird,Hunter harvest,NWDP
North Carolina,Pamlico,1/20/2022,EA H5N1,American wigeon,Wild bird,Hunter harvest,NWDP
North Carolina,Pamlico,1/20/2022,EA H5N1,Northern shoveler,Wild bird,Hunter harvest,NWDP
North Carolina,Pamlico,1/20/2022,EA H5N1,American wigeon,Wild bird,Hunter harvest,NWDP
North Carolina,Pamlico,1/20/2022,EA H5N1,American wigeon,Wild bird,Hunter harvest,NWDP
North Carolina,Pamlico,1/20/2022,EA H5,American wigeon,Wild bird,Hunter harvest,NWDP
North Carolina,Pamlico,1/20/2022,EA H5N1,American wigeon,Wild bird,Hunter harvest,NWDP
North Carolina,Pamlico,1/20/2022,EA H5N1,Gadwall,Wild bird,Hunter harvest,NWDP
North Carolina,Pamlico,1/20/2022,EA H5,American wigeon,Wild bird,Hunter harvest,NWDP
North Carolina,Pamlico,1/20/2022,EA H5N1,American wigeon,Wild bird,Hunter harvest,NWDP
North Carolina,Pamlico,1/20/2022,EA H5,American wigeon,Wild bird,Hunter harvest,NWDP
North Carolina,Pamlico,1/20/2022,EA H5N1,American wigeon,Wild bird,Hunter harvest,NWDP
North Carolina,Pamlico,1/20/2022,EA H5N1,American wigeon,Wild bird,Hunter harvest,NWDP
North Carolina,Pamlico,1/20/2022,EA H5N1,American wigeon,Wild bird,Hunter harvest,NWDP
North Carolina,Pamlico,1/20/2022,EA H5N1,American wigeon,Wild bird,Hunter harvest,NWDP
North Carolina,Pamlico,1/20/2022,EA H5,American wigeon,Wild bird,Hunter harvest,NWDP
North Carolina,Pamlico,1/20/2022,EA H5N1,American wigeon,Wild bird,Hunter harvest,NWDP
North Carolina,Pamlico,1/20/2022,EA H5N1,American wigeon,Wild bird,Hunter harvest,NWDP
North Carolina,Pamlico,1/20/2022,EA H5N1,Gadwall,Wild bird,Hunter harvest,NWDP
North Carolina,Pamlico,1/20/2022,EA H5N1,American wigeon,Wild bird,Hunter harvest,NWDP
North Carolina,Pamlico,1/20/2022,EA H5,American wigeon,Wild bird,Hunter harvest,NWDP
North Carolina,Beaufort,1/26/2022,EA H5N1,American wigeon,Wild bird,Hunter harvest,NWDP
North Carolina,Beaufort,1/26/2022,EA H5N1,Gadwall,Wild bird,Hunter harvest,NWDP
North Carolina,Beaufort,1/26/2022,EA H5,American wigeon,Wild bird,Hunter harvest,NWDP
North Carolina,Beaufort,1/26/2022,EA H5N1,American wigeon,Wild bird,Hunter harvest,NWDP
North Carolina,Beaufort,1/26/2022,EA H5,American wigeon,Wild bird,Hunter harvest,NWDP
North Carolina,Beaufort,1/26/2022,EA H5N1,American wigeon,Wild bird,Hunter harvest,NWDP
North Carolina,Beaufort,1/26/2022,EA H5N1,American wigeon,Wild bird,Hunter harvest,NWDP
North Carolina,Pamlico,1/26/2022,EA H5,American green-winged teal,Wild bird,Hunter harvest,NWDP
North Carolina,Pamlico,1/26/2022,EA H5,American green-winged teal,Wild bird,Hunter harvest,NWDP
North Carolina,Pamlico,1/26/2022,EA H5N1,American green-winged teal,Wild bird,Hunter harvest,NWDP
South Carolina,Colleton,1/26/2022,EA H5,Gadwall,Wild bird,Hunter harvest,NWDP
South Carolina,Colleton,1/26/2022,EA H5,Gadwall,Wild bird,Hunter harvest,NWDP
South Carolina,Colleton,1/26/2022,EA H5,Gadwall,Wild bird,Hunter harvest,NWDP
South Carolina,Colleton,1/26/2022,EA H5,Gadwall,Wild bird,Hunter harvest,NWDP
South Carolina,Colleton,1/26/2022,EA H5,Gadwall,Wild bird,Hunter harvest,NWDP
South Carolina,Colleton,1/26/2022,EA H5,Gadwall,Wild bird,Hunter harvest,NWDP
South Carolina,Colleton,1/26/2022,EA H5,Gadwall,Wild bird,Hunter harvest,NWDP
South Carolina,Colleton,1/26/2022,EA H5,American wigeon,Wild bird,Hunter harvest,NWDP
South Carolina,Colleton,1/26/2022,EA H5,American wigeon,Wild bird,Hunter harvest,NWDP
South Carolina,Colleton,1/26/2022,EA H5,American wigeon,Wild bird,Hunter harvest,NWDP
South Carolina,Colleton,1/26/2022,EA H5,American wigeon,Wild bird,Hunter harvest,NWDP
South Carolina,Colleton,1/26/2022,EA H5,American wigeon,Wild bird,Hunter harvest,NWDP
South Carolina,Colleton,1/26/2022,EA H5,American wigeon,Wild bird,Hunter harvest,NWDP
South Carolina,Colleton,1/26/2022,EA H5,Northern shoveler,Wild bird,Hunter harvest,NWDP
South Carolina,Colleton,1/26/2022,EA H5,Blue-winged teal,Wild bird,Hunter harvest,NWDP
South Carolina,Colleton,1/26/2022,EA H5,Blue-winged teal,Wild bird,Hunter harvest,NWDP
South Carolina,Colleton,1/26/2022,EA H5,Blue-winged teal,Wild bird,Hunter harvest,NWDP
South Carolina,Colleton,1/26/2022,EA H5,Blue-winged teal,Wild bird,Hunter harvest,NWDP
South Carolina,Colleton,1/26/2022,EA H5,Blue-winged teal,Wild bird,Hunter harvest,NWDP
South Carolina,Colleton,1/26/2022,EA H5,Blue-winged teal,Wild bird,Hunter harvest,NWDP
South Carolina,Colleton,1/26/2022,EA H5,Blue-winged teal,Wild bird,Hunter harvest,NWDP
North Carolina,Pamlico,1/26/2022,EA H5N1,Gadwall,Wild bird,Hunter harvest,NWDP
Virginia,Henrico,1/26/2022,EA H5,American green-winged teal,Wild bird,Hunter harvest,NWDP
Virginia,Henrico,1/26/2022,EA H5,Mallard,Wild bird,Hunter harvest,NWDP
North Carolina,Hyde,1/12/2022,EA H5,Gadwall,Wild bird,Hunter harvest,NWDP
North Carolina,Hyde,1/16/2022,EA H5,Northern shoveler,Wild bird,Hunter harvest,NWDP
North Carolina,Hyde,1/16/2022,EA H5,Gadwall,Wild bird,Hunter harvest,NWDP
North Carolina,Beaufort,1/26/2022,EA H5,American wigeon,Wild bird,Hunter harvest,NWDP
North Carolina,Beaufort,1/26/2022,EA H5,American wigeon,Wild bird,Hunter harvest,NWDP
South Carolina,Colleton,1/26/2022,EA H5,Blue-winged teal,Wild bird,Hunter harvest,NWDP
North Carolina,Pamlico,2/1/2022,EA H5N1,Gadwall,Wild bird,Hunter harvest,NWDP
North Carolina,Pamlico,2/1/2022,EA H5N1,Gadwall,Wild bird,Hunter harvest,NWDP
North Carolina,Pamlico,2/1/2022,EA H5,Wood duck,Wild bird,Hunter harvest,NWDP
North Carolina,Pamlico,2/1/2022,EA H5,American wigeon,Wild bird,Hunter harvest,NWDP
North Carolina,Beaufort,2/1/2022,EA H5N1,American green-winged teal,Wild bird,Hunter harvest,NWDP
North Carolina,Beaufort,2/1/2022,EA H5N1,American wigeon,Wild bird,Hunter harvest,NWDP
North Carolina,Beaufort,2/1/2022,EA H5N1,American wigeon,Wild bird,Hunter harvest,NWDP
Virginia,Virginia Beach,2/1/2022,EA H5N1,American green-winged teal,Wild bird,Hunter harvest,NWDP
Florida,Palm Beach,2/1/2022,EA H5,Blue-winged teal,Wild bird,Hunter harvest,NWDP
Florida,Palm Beach,2/1/2022,EA H5,Blue-winged teal,Wild bird,Hunter harvest,NWDP
Maryland,Kent,2/2/2022,EA H5N1,Lesser scaup,Wild bird,Live bird,USGS/SCWDS
