"state","county","date_collected","date_detected","hpai_strain","species"
"Montana","McCone","3/11/2024","8/20/2024","EA/AM H5N1","Striped skunk"
"Utah","Washington","1/10/2024","8/20/2024","EA H5N1","Striped skunk"
"Utah","Washington","1/10/2024","8/20/2024","EA H5N1","Striped skunk"
"Utah","Washington","1/10/2024","8/20/2024","EA H5N1","Striped skunk"
"Utah","Washington","1/10/2024","8/20/2024","EA H5N1","Striped skunk"
"Missouri","St. Charles","7/11/2024","8/9/2024","EA H5","Red fox"
"Colorado","Larimer","7/24/2024","7/29/2024","EA H5N1","Domestic cat"
"Colorado","Weld","7/12/2024","7/23/2024","EA H5N1","Deer mouse"
"Colorado","Weld","7/12/2024","7/23/2024","EA H5N1","Deer mouse"
"Colorado","Weld","7/12/2024","7/23/2024","EA H5N1","Deer mouse"
"Colorado","Weld","7/12/2024","7/23/2024","EA H5N1","Deer mouse"
"Colorado","Weld","7/12/2024","7/23/2024","EA H5","Deer mouse"
"Colorado","Weld","7/12/2024","7/23/2024","EA H5N1","Deer mouse"
"Colorado","Weld","7/12/2024","7/23/2024","EA H5N1","Deer mouse"
"Colorado","Weld","7/12/2024","7/23/2024","EA H5N1","Deer mouse"
"Colorado","Weld","7/13/2024","7/23/2024","EA H5N1","Deer mouse"
"Colorado","Weld","7/13/2024","7/23/2024","EA H5N1","Deer mouse"
"Colorado","Weld","7/13/2024","7/23/2024","EA H5N1","Deer mouse"
"Colorado","Weld","7/13/2024","7/23/2024","EA H5","Deer mouse"
"Colorado","Weld","7/13/2024","7/23/2024","EA H5N1","Deer mouse"
"Colorado","Weld","7/13/2024","7/23/2024","EA H5N1","House mouse"
"Colorado","Weld","7/13/2024","7/23/2024","EA H5N1","House mouse"
"Colorado","Weld","7/13/2024","7/23/2024","EA H5N1","House mouse"
"Colorado","Weld","7/13/2024","7/23/2024","EA H5N1","House mouse"
"Colorado","Larimer","7/12/2024","7/22/2024","EA H5N1","Domestic cat"
"Colorado","Larimer","7/16/2024","7/22/2024","EA H5N1","Domestic cat"
"Colorado","Larimer","7/14/2024","7/22/2024","EA H5N1","Domestic cat"
"Colorado","Weld","7/11/2024","7/22/2024","EA H5N1","Desert cottontail"
"Colorado","Weld","7/11/2024","7/22/2024","EA H5N1","Deer mouse"
"Colorado","Weld","7/11/2024","7/22/2024","EA H5N1","House mouse"
"Colorado","Weld","7/11/2024","7/22/2024","EA H5N1","House mouse"
"Colorado","Weld","7/11/2024","7/22/2024","EA H5N1","House mouse"
"Colorado","Weld","7/11/2024","7/22/2024","EA H5N1","House mouse"
"Colorado","Weld","7/11/2024","7/22/2024","EA H5N1","Prairie vole"
"New York","Erie","7/3/2024","7/16/2024","EA H5N1","Red fox"
"New York","Tompkins","4/9/2024","7/10/2024","EA H5N1","Red fox"
"Iowa","Sioux","6/18/2024","7/8/2024","EA H5N1","Raccoon"
"Michigan","Ottawa","4/18/2024","7/5/2024","EA/AM H5N1","Raccoon"
"Michigan","Ottawa","4/18/2024","7/5/2024","EA/AM H5N1","Domestic cat"
"Minnesota","Sibley","6/10/2024","6/27/2024","EA H5","Domestic cat"
"Minnesota","Sibley","6/10/2024","6/27/2024","EA H5N1","Domestic cat"
"Colorado","Adams","5/30/2024","6/24/2024","EA H5N1","Domestic cat"
"Minnesota","Washington","5/2/2024","6/21/2024","EA H5N1","Red fox"
"Minnesota","Kandiyohi","6/18/2024","6/21/2024","EA H5N1","Domestic cat"
"Colorado","Morgan","5/25/2024","6/6/2024","EA H5N1","Domestic cat"
"New Mexico","Roosevelt","5/6/2024","6/5/2024","EA H5N1","House mouse"
"Michigan","Ionia","5/20/2024","6/4/2024","EA/AM H5N1","Domestic cat"
"New Mexico","Roosevelt","5/6/2024","6/3/2024","EA/AM H5N1","Red fox"
"New Mexico","Roosevelt","5/7/2024","6/3/2024","EA H5N1","House mouse"
"Idaho","Jerome","5/23/2024","6/3/2024","EA H5N1","Domestic cat"
"Michigan","Clinton","5/23/2024","6/3/2024","EA H5N1","Domestic cat"
"New Mexico","Roosevelt","5/12/2024","5/31/2024","EA H5N1","House mouse"
"New Mexico","Roosevelt","5/12/2024","5/31/2024","EA H5N1","House mouse"
"New Mexico","Roosevelt","5/12/2024","5/31/2024","EA H5N1","House mouse"
"New Mexico","Roosevelt","5/12/2024","5/31/2024","EA H5N1","House mouse"
"New Mexico","Roosevelt","5/12/2024","5/31/2024","EA H5N1","House mouse"
"New Mexico","Roosevelt","5/12/2024","5/31/2024","EA H5N1","House mouse"
"New Mexico","Roosevelt","5/12/2024","5/31/2024","EA H5N1","House mouse"
"New Mexico","Roosevelt","5/12/2024","5/31/2024","EA H5N1","House mouse"
"New Mexico","Roosevelt","5/12/2024","5/31/2024","EA H5N1","House mouse"
"New Mexico","Roosevelt","5/12/2024","5/31/2024","EA H5N1","House mouse"
"New Mexico","Roosevelt","5/11/2024","5/31/2024","EA H5N1","House mouse"
