State,County,Collection Date,Date Detected,HPAI Strain,Bird Species,WOAH Classification,Sampling Method,Submitting Agency
South Carolina,Colleton,2021-12-30,1/13/22,EA H5N1,American wigeon,Wild bird,Hunter harvest,NWDP
South Carolina,Colleton,2021-12-30,1/13/22,EA H5N1,Blue-winged teal,Wild bird,Hunter harvest,NWDP
North Carolina,Hyde,2021-12-30,1/12/22,EA H5N1,Northern shoveler,Wild bird,Hunter harvest,NWDP
North Carolina,Hyde,2021-12-30,1/12/22,EA H5,Gadwall,Wild bird,Hunter harvest,NWDP
North Carolina,Hyde,2022-01-01,1/16/22,EA H5,Northern shoveler,Wild bird,Hunter harvest,NWDP
North Carolina,Hyde,2022-01-01,1/16/22,EA H5,Gadwall,Wild bird,Hunter harvest,NWDP
South Carolina,Colleton,2022-01-06,1/26/22,EA H5,Gadwall,Wild bird,Hunter harvest,NWDP
South Carolina,Colleton,2022-01-06,1/26/22,EA H5,Gadwall,Wild bird,Hunter harvest,NWDP
South Carolina,Colleton,2022-01-06,1/26/22,EA H5,Gadwall,Wild bird,Hunter harvest,NWDP
South Carolina,Colleton,2022-01-06,1/26/22,EA H5,Gadwall,Wild bird,Hunter harvest,NWDP
South Carolina,Colleton,2022-01-06,1/26/22,EA H5,Gadwall,Wild bird,Hunter harvest,NWDP
South Carolina,Colleton,2022-01-06,1/26/22,EA H5,Gadwall,Wild bird,Hunter harvest,NWDP
South Carolina,Colleton,2022-01-06,1/26/22,EA H5,Gadwall,Wild bird,Hunter harvest,NWDP
South Carolina,Colleton,2022-01-06,1/26/22,EA H5,American wigeon,Wild bird,Hunter harvest,NWDP
South Carolina,Colleton,2022-01-06,1/26/22,EA H5,American wigeon,Wild bird,Hunter harvest,NWDP
South Carolina,Colleton,2022-01-06,1/26/22,EA H5,American wigeon,Wild bird,Hunter harvest,NWDP
South Carolina,Colleton,2022-01-06,1/26/22,EA H5,American wigeon,Wild bird,Hunter harvest,NWDP
South Carolina,Colleton,2022-01-06,1/26/22,EA H5,American wigeon,Wild bird,Hunter harvest,NWDP
South Carolina,Colleton,2022-01-06,1/26/22,EA H5,American wigeon,Wild bird,Hunter harvest,NWDP
South Carolina,Colleton,2022-01-06,1/26/22,EA H5,Northern shoveler,Wild bird,Hunter harvest,NWDP
South Carolina,Colleton,2022-01-06,1/26/22,EA H5,Blue-winged teal,Wild bird,Hunter harvest,NWDP
South Carolina,Colleton,2022-01-06,1/26/22,EA H5,Blue-winged teal,Wild bird,Hunter harvest,NWDP
South Carolina,Colleton,2022-01-06,1/26/22,EA H5,Blue-winged teal,Wild bird,Hunter harvest,NWDP
South Carolina,Colleton,2022-01-06,1/26/22,EA H5,Blue-winged teal,Wild bird,Hunter harvest,NWDP
South Carolina,Colleton,2022-01-06,1/26/22,EA H5,Blue-winged teal,Wild bird,Hunter harvest,NWDP
South Carolina,Colleton,2022-01-06,1/26/22,EA H5,Blue-winged teal,Wild bird,Hunter harvest,NWDP
South Carolina,Colleton,2022-01-06,1/26/22,EA H5,Blue-winged teal,Wild bird,Hunter harvest,NWDP
South Carolina,Colleton,2022-01-06,1/26/22,EA H5,Blue-winged teal,Wild bird,Hunter harvest,NWDP
North Carolina,Beaufort,2022-01-08,1/26/22,EA H5N1,American wigeon,Wild bird,Hunter harvest,NWDP
North Carolina,Beaufort,2022-01-08,1/26/22,EA H5N1,Gadwall,Wild bird,Hunter harvest,NWDP
North Carolina,Beaufort,2022-01-08,1/26/22,EA H5,American wigeon,Wild bird,Hunter harvest,NWDP
North Carolina,Beaufort,2022-01-08,1/26/22,EA H5N1,American wigeon,Wild bird,Hunter harvest,NWDP
North Carolina,Beaufort,2022-01-08,1/26/22,EA H5,American wigeon,Wild bird,Hunter harvest,NWDP
North Carolina,Beaufort,2022-01-08,1/26/22,EA H5N1,American wigeon,Wild bird,Hunter harvest,NWDP
North Carolina,Beaufort,2022-01-08,1/26/22,EA H5N1,American wigeon,Wild bird,Hunter harvest,NWDP
North Carolina,Pamlico,2022-01-08,1/26/22,EA H5,Green-winged teal,Wild bird,Hunter harvest,NWDP
North Carolina,Pamlico,2022-01-08,1/26/22,EA H5,Green-winged teal,Wild bird,Hunter harvest,NWDP
North Carolina,Pamlico,2022-01-08,1/26/22,EA H5N1,Green-winged teal,Wild bird,Hunter harvest,NWDP
Virginia,Henrico,2022-01-08,1/26/22,EA H5,Green-winged teal,Wild bird,Hunter harvest,NWDP
Virginia,Henrico,2022-01-08,1/26/22,EA H5,Mallard,Wild bird,Hunter harvest,NWDP
